gene,phenotype,gene_disgenet_class,NPMI,n_g,n_p,n_gp
LAMP2,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",S,8.349821500813095e-06,191,18933,1.0
MSC,"['C0042373', 'Angiopathy', 'SNOMEDCT_US', 'NULL']",NA,1.0052874888341986e-05,3186,1135,1.0
DES,"['C0011847', 'Diabetes', 'OMIM', 'NULL']",NA,1.4997471611110601e-05,93,38880,1.0
IGF1,"['C0011847', 'Diabetes', 'OMIM', 'NULL']",NA,1.617415196756687e-05,279,38880,3.0
GSN,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,1.9173196388098655e-05,129,28028,1.0
HPSE,"['C1290884', 'Inflammatory disease', 'SNOMEDCT_US', 'NULL']",NA,2.536400977667418e-05,659,5486,1.0
TLR4,"['C0522224', 'Inability to move', 'HPO', 'HP:0003470']",1.0,3.868171489832122e-05,6731,537,1.0
FOXP3,"['C0409974', 'LE - Lupus erythematosus', 'SNOMEDCT_US', 'NULL']",NA,4.26940382654235e-05,1044,3462,1.0
PRSS1,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",1.0,4.444855586266712e-05,1118,151966,47.0
NLRP3,"['C0263541', 'Equine laminitis', 'SNOMEDCT_US', 'NULL']",1.0,4.665163644852548e-05,8544,423,1.0
BRAF,"['C3714636', 'Lung Inflammation', 'MSH', 'NULL']",S,5.306491345660241e-05,1559,2318,1.0
TLR3,"['C0025517', 'Disorder of metabolism NOS (disorder)', 'SNOMEDCT_US', 'NULL']",1.0,7.634116435261303e-05,996,3627,1.0
CGA,"['C0024299', 'Cancer of lymphatic system', 'HPO', 'HP:0002665']",NA,8.008078946664054e-05,552,6544,1.0
MSC,"['C0021390', 'Inflammatory bowel disease', 'OMIM, SNOMEDCT_US, HPO', 'HP:0002037']",NA,9.478646637098622e-05,3186,3401,3.0
STAT3,"['C3714636', 'Lung Inflammation', 'MSH', 'NULL']",1.0,0.00010695370752797507,7790,2318,5.0
CDX2,"['C0006826', 'Cancer', 'HPO', 'HP:0002664']",NA,0.00010831528186144573,237,167631,11.0
MMP2,"['C0020456', 'High blood glucose', 'HPO', 'HP:0003074']",NA,0.00013174221726534858,641,5631,1.0
BTK,"['C0020538', 'Hypertension', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0000822']",NA,0.0001338153839268663,349,10342,1.0
APC,"['C0278134', 'Absence of sensation', 'SNOMEDCT_US', 'NULL']",NA,0.0001638744188517494,1786,2020,1.0
ATF6,"['C0011854', 'Juvenile diabetes mellitus', 'HPO', 'HP:0100651']",NA,0.00018553712697703397,868,4155,1.0
MTHFR,"['C0346647', 'Cancer of the pancreas', 'HPO', 'HP:0002894']",NA,0.00019223981431636057,286,37835,3.0
