#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAGAB	CCDC115	9606.ENSP00000261880	9606.ENSP00000259229	0	0	0	0	0.074	0	0	0.475	0.493
AAGAB	VAC14	9606.ENSP00000261880	9606.ENSP00000261776	0	0	0	0	0.049	0	0	0.410	0.415
AAGAB	BEAN1	9606.ENSP00000261880	9606.ENSP00000442793	0	0	0	0	0	0	0	0.404	0.404
AAGAB	PTPN23	9606.ENSP00000261880	9606.ENSP00000265562	0	0	0	0	0.049	0	0	0.444	0.449
AAGAB	PGAP3	9606.ENSP00000261880	9606.ENSP00000300658	0	0	0	0	0.042	0	0	0.566	0.566
AAGAB	CCDC32	9606.ENSP00000261880	9606.ENSP00000452773	0	0	0	0	0.049	0.768	0	0	0.769
AARS2	EIF2AK1	9606.ENSP00000244571	9606.ENSP00000199389	0.079	0	0	0	0.301	0.064	0	0.181	0.440
AARS2	SHPK	9606.ENSP00000244571	9606.ENSP00000225519	0.055	0	0	0	0.461	0.071	0	0.048	0.489
AARS2	AICDA	9606.ENSP00000244571	9606.ENSP00000229335	0	0	0	0	0	0	0	0.470	0.470
AARS2	TBL2	9606.ENSP00000244571	9606.ENSP00000307260	0	0	0	0	0.252	0.179	0	0.101	0.400
AARS2	POLR1B	9606.ENSP00000244571	9606.ENSP00000444136	0.056	0	0	0	0.278	0	0	0.204	0.410
AARS2	PTCD3	9606.ENSP00000244571	9606.ENSP00000254630	0	0	0	0	0.092	0.162	0	0.288	0.411
AARS2	ANAPC7	9606.ENSP00000244571	9606.ENSP00000394394	0	0	0	0	0.098	0.289	0	0.158	0.412
AARS2	PNPT1	9606.ENSP00000244571	9606.ENSP00000400646	0.048	0	0	0	0.177	0.163	0	0.233	0.430
AARS2	DIS3L2	9606.ENSP00000244571	9606.ENSP00000315569	0.042	0	0	0	0.356	0	0	0.171	0.444
AARS2	TRMU	9606.ENSP00000244571	9606.ENSP00000496496	0.102	0	0	0	0.104	0	0	0.368	0.447
AARS2	VPS33B	9606.ENSP00000244571	9606.ENSP00000327650	0	0	0	0	0.444	0	0	0.050	0.449
AARS2	TRNT1	9606.ENSP00000244571	9606.ENSP00000251607	0.103	0	0	0	0.058	0	0	0.428	0.475
AARS2	PIGO	9606.ENSP00000244571	9606.ENSP00000367880	0	0	0	0	0.476	0	0	0	0.476
AARS2	SLX4	9606.ENSP00000244571	9606.ENSP00000294008	0.079	0	0	0	0.371	0.061	0	0.176	0.492
AARS2	PUS1	9606.ENSP00000244571	9606.ENSP00000365837	0.053	0	0	0	0.153	0.141	0	0.356	0.497
AARS2	GUF1	9606.ENSP00000244571	9606.ENSP00000281543	0.045	0	0	0	0.233	0.163	0	0.294	0.509
AARS2	QRSL1	9606.ENSP00000244571	9606.ENSP00000358042	0.057	0	0	0	0.095	0.203	0	0.368	0.512
AARS2	EIF2AK4	9606.ENSP00000244571	9606.ENSP00000263791	0.079	0	0	0	0.315	0.064	0	0.274	0.514
AARS2	POLR1A	9606.ENSP00000244571	9606.ENSP00000263857	0.057	0	0	0	0.379	0	0	0.240	0.516
AARS2	INTS1	9606.ENSP00000244571	9606.ENSP00000385722	0	0	0	0	0.283	0	0	0.352	0.516
AARS2	DHX37	9606.ENSP00000244571	9606.ENSP00000311135	0	0	0	0	0.506	0	0	0.064	0.518
AARS2	ACAD9	9606.ENSP00000244571	9606.ENSP00000312618	0	0	0	0	0.315	0.169	0	0.227	0.522
AARS2	MRPS22	9606.ENSP00000244571	9606.ENSP00000418008	0	0	0	0	0.102	0.162	0	0.418	0.524
AARS2	GTPBP3	9606.ENSP00000244571	9606.ENSP00000351644	0	0	0	0	0.195	0	0	0.464	0.550
AARS2	ELAC2	9606.ENSP00000244571	9606.ENSP00000337445	0.061	0	0	0	0.202	0.128	0	0.396	0.552
AARS2	MTO1	9606.ENSP00000244571	9606.ENSP00000402038	0	0	0	0	0.087	0.160	0	0.557	0.630
AARS2	GFM1	9606.ENSP00000244571	9606.ENSP00000264263	0.057	0	0	0	0.152	0.163	0	0.515	0.632
AARS2	BRIP1	9606.ENSP00000244571	9606.ENSP00000259008	0	0	0	0	0.062	0.057	0	0.631	0.645
AARS2	ATRIP	9606.ENSP00000244571	9606.ENSP00000323099	0	0	0	0	0.197	0	0	0.586	0.653
AARS2	CARS2	9606.ENSP00000244571	9606.ENSP00000257347	0.055	0	0	0	0.257	0.163	0	0.736	0.824
AARS2	LARS1	9606.ENSP00000244571	9606.ENSP00000377954	0.102	0	0	0	0.397	0	0	0.714	0.832
AARS2	ANAPC1	9606.ENSP00000244571	9606.ENSP00000339109	0	0	0	0	0.098	0.760	0	0.295	0.834
AARS2	HARS2	9606.ENSP00000244571	9606.ENSP00000494965	0.079	0	0	0	0.360	0.165	0	0.769	0.871
AARS2	YARS2	9606.ENSP00000244571	9606.ENSP00000320658	0.101	0	0	0	0.287	0.208	0	0.809	0.890
AARS2	RARS2	9606.ENSP00000244571	9606.ENSP00000358549	0.057	0	0	0	0.163	0.217	0	0.864	0.905
AARS2	IARS2	9606.ENSP00000244571	9606.ENSP00000355889	0.095	0	0	0	0.386	0.166	0	0.845	0.918
AARS2	LARS2	9606.ENSP00000244571	9606.ENSP00000498867	0.102	0	0	0	0.575	0.162	0	0.792	0.924
AARS2	EARS2	9606.ENSP00000244571	9606.ENSP00000456218	0.069	0	0	0	0.587	0.128	0	0.809	0.927
AARS2	VARS2	9606.ENSP00000244571	9606.ENSP00000441000	0.061	0	0	0	0.694	0.125	0	0.781	0.937
AARS2	DARS2	9606.ENSP00000244571	9606.ENSP00000497569	0.115	0.132	0	0	0.571	0.125	0	0.869	0.955
ABCA12	BRD4	9606.ENSP00000272895	9606.ENSP00000263377	0	0	0	0	0	0.421	0	0.072	0.439
ABCA12	ABHD5	9606.ENSP00000272895	9606.ENSP00000495778	0	0	0	0	0.050	0.041	0	0.427	0.433
ABCA12	CASP14	9606.ENSP00000272895	9606.ENSP00000393417	0	0	0	0	0.075	0	0	0.528	0.545
ABCA12	FLG2	9606.ENSP00000272895	9606.ENSP00000373370	0	0	0	0	0.080	0.048	0	0.615	0.634
ABCA12	ALOXE3	9606.ENSP00000272895	9606.ENSP00000314879	0	0	0	0	0.084	0.060	0	0.793	0.806
ABCG5	ABCG8	9606.ENSP00000384513	9606.ENSP00000272286	0	0	0.131	0.739	0.847	0.971	0.900	0.988	0.999
ABCG5	SLC51A	9606.ENSP00000384513	9606.ENSP00000296327	0	0	0	0	0.102	0	0	0.580	0.606
